Rank,Destination AS,Organization,Number of ASes set prefix policy for it
134,AS35908,"Krypt Technologies",180
135,AS30081,"CacheNetworks, Inc.",180
136,AS20473,"Choopa, LLC",179
137,AS7430,"Hewlett-Packard Company",179
138,AS18018,"Gamebuilders Inc.",178
139,AS33438,"Highwinds Network Group, Inc.",178
140,AS12008,"NeuStar, Inc.",178
141,AS60725,"O3b Sales BV",177
142,AS46269,"Kronos Inc.",176
143,AS17072,"TOTAL PLAY TELECOMUNICACIONES SA DE CV",176
144,AS57129,"Optibit LLC",176
145,AS49505,"OOO "Network of data-centers "Selectel"",175
146,AS9541,"Cyber Internet Services Pakistan",175
147,AS38191,"Infosys Limited",174
148,AS38719,"Dreamscape Networks PTY LTD",174
149,AS36998,"Sudanese Mobile Telephone (ZAIN) Co Ltd",173
150,AS45474,"NEXUSGUARD LIMITED",172
151,AS30999,"EMTEL LIMITED",172
152,AS12772,"JSC "ER-Telecom Holding"",172
153,AS54825,"Packet Host, Inc.",172
154,AS132046,"Sunbridge worldwide LTD",171
155,AS31972,"Emagine Concept, Inc.",171
156,AS25467,"Akton d.o.o.",171
157,AS30103,"Zoom Video Communications, Inc",171
158,AS38713,"Satcomm (Pvt.) Ltd.",170
159,AS17451,"BIZNET ISP",170
160,AS20645,"PurePeak Ltd.",170
161,AS32261,"subspace",170
162,AS17625,"Blazenet Pvt Ltd",168
163,AS38247,"Vietnamobile Telecommunications Joint Stock Company",168
164,AS13105,"LUKOIL Technology Services GmbH",167
165,AS45806,"TRUE INTERNET CORPORATION CO. LTD.",167
166,AS11835,"NOVA FIBRA TELECOM S.A.",167
167,AS43009,"Infobip Limited",167
168,AS19527,"Google LLC",167
169,AS37294,"TELEKOM NETWORKS MALAWI LTD",166
170,AS55410,"Vodafone Idea Ltd. (VIL)",166
171,AS25820,"IT7 Networks Inc",166
172,AS14148,"Ex Libris (USA) Inc",165
173,AS24342,"BRACNet Limited",164
174,AS9304,"HGC Global Communications Limited",164
175,AS27385,"QUALYS, Inc.",164
176,AS28469,"AT&T COMUNICACIONES DIGITALES S DE RL",164
177,AS8452,"TE-AS",163
178,AS45178,"Telecom Development Company Afghanistan",163
179,AS1766,"Exxon Mobil Corporation",162
180,AS19239,"KLA-TENCOR",162
181,AS18046,"DongFong Technology Co. Ltd.",162
182,AS23576,"NBP",162
183,AS12701,"Barclays Bank plc",162
184,AS38496,"PT Cyber Network Indonesia",162
185,AS45432,"Tech Mahindra Limited",161
186,AS37340,"SPECTRANET LIMITED",161
187,AS24151,"China Internet Network Infomation Center",161
188,AS30437,"General Electric Company",160
189,AS42962,"Shijiazhuang XuDing Technology Company Ltd",160
190,AS6648,"Sky Internet",160
191,AS1828,"Unitas Global LLC",160
192,AS4546,"S&P Global Inc",159
193,AS44444,"Forcepoint Cloud Ltd",159
194,AS30614,"Dell, Inc.",159
195,AS8561,"Knipp Medien und Kommunikation GmbH",159
196,AS19197,"Stefanini, Inc.",159
197,AS27435,"Dimension Data Cloud Solutions, Inc.",158
198,AS131477,"Clouds Network Limited",158
199,AS40703,"Turner Broadcasting System, Inc.",158
200,AS61228,"Teleon OOO",158
201,AS14201,"TeleTech Holdings, Inc",158
202,AS131618,"Carl International Information ltd.",157
203,AS38451,"SMX Ltd",157
204,AS26704,"Open Text Corporation",156
205,AS9729,"iAdvantage Limited",156
206,AS38244,"Trung tam VNNIC",155
207,AS24432,"Axiata (Bangladesh) Limited",155
208,AS37020,"CELTEL DRC",155
209,AS23944,"Sky Cable Corporation",154
210,AS36352,"ColoCrossing",154
211,AS57976,"Blizzard Entertainment, Inc",153
212,AS2697,"ERNET India",153
213,AS16839,"SERVICENOW, INC.",153
214,AS1294,"NTT DATA Services Holdings Corporation",152
215,AS18779,"EGIHosting",152
216,AS11757,"Whirlpool Corporation",152
217,AS27882,"Telefónica Celular de Bolivia S.A.",152
218,AS17088,"Currenex, Inc.",152
219,AS18059,"Departemen Energi dan Sumber Daya Mineral",151
220,AS45903,"CMC Telecom Infrastructure Company",151
221,AS10100,"UBS Group AG",150
222,AS7633,"Software Technology Parks of India - Bangalore",150
223,AS11340,"Red Universitaria Nacional",150
224,AS18676,"Avaya Inc.",149
225,AS2386,"AT&T Data Communications Services",149
226,AS13778,"Johnson & Johnson",149
227,AS48582,"ngena GmbH",148
228,AS54363,"Baker Hughes Incorporated",148
229,AS22683,"Koninklijke Philips N.V.",148
230,AS9299,"Philippine Long Distance Telephone Company",148
231,AS4768,"Vodafone New Zealand Limited",148
232,AS9286,"KINX",147
233,AS49683,"MASSIVEGRID LTD",147
234,AS20278,"Nexeon Technologies, Inc.",147
235,AS56630,"Melbikomas UAB",147
236,AS10780,"Pure Storage, INC.",147
237,AS7342,"VeriSign Infrastructure & Operations",146
238,AS34164,"Akamai International B.V.",146
239,AS30175,"EPICOR",146
240,AS22177,"Transit do Brasil S/A",144
241,AS14153,"MCI Communications Services, Inc. d/b/a Verizon Business",143
242,AS19460,"Sutherland Global Services, Inc.",143
243,AS29684,"Nour Communication Co.Ltd - Nournet",143
244,AS2047,"Hoffmann - La Roche Ltd.",143
245,AS28099,"iHosting Servicios Internet Ltda.",142
246,AS25934,"Syniverse Technologies, LLC",142
247,AS28263,"Ensite Brasil Telecomunicações Ltda - ME",142
248,AS9924,"Taiwan Fixed Network, Telco and Network Service Provider.",142
249,AS58224,"Iran Telecommunication Company PJS",141
250,AS42337,"Respina Networks & Beyond PJSC",141
251,AS59362,"KS Network Limited",141
252,AS37088,"VDT COMMUNICATIONS LIMITED",140
253,AS35753,"Integrated Telecom Co. Ltd",140
254,AS23674,"Nayatel (Pvt) Ltd",140
255,AS47794,"Etihad Atheeb Telecom Company",139
256,AS12975,"Palestine Telecommunications Company (PALTEL)",139
257,AS21299,"Kar-Tel LLC",139
258,AS10310,"Oath Holdings Inc.",139
259,AS54535,"Nike, Inc.",138
260,AS45223,"World Internetwork Corporation Co., Ltd",138
261,AS32528,"ROSS PRODUCTS DIVISION",138
262,AS278,"Universidad Nacional Autonoma de Mexico",138
263,AS32475,"SingleHop LLC",138
264,AS9387,"Augere Pakistan (Pvt) Limited",138
265,AS55293,"A2 Hosting, Inc.",137
266,AS33517,"Oracle Corporation",137
267,AS4249,"Eli Lilly and Company",137
268,AS52468,"UFINET PANAMA S.A.",137
269,AS9823,"NCS Pearson, Inc.",137
270,AS16526,"Birch Telecom, Inc.",137
271,AS18229,"Pioneer Elabs Ltd.",136
272,AS18723,"Seagate Technology LLC",136
273,AS18207,"YOU Broadband & Cable India Ltd.",136
274,AS33680,"TELEPERFORMANCE USA",136
275,AS18701,"ConocoPhillips Company",136
276,AS2571,"DHL Information Services (Europe) s.r.o",136
277,AS23953,"PT ARTHA TELEKOMINDO",136
278,AS15399,"Wananchi Group (Kenya) Limited",135
279,AS36692,"Cisco OpenDNS, LLC",135
280,AS4780,"Digital United Inc.",134
281,AS38726,"VTC DIGICOM",134
282,AS50837,"CLOUDSIGMA AG",134
283,AS22717,"Halliburton Company",134
284,AS393347,"TollFreeForwarding.com",134
285,AS1,"Level 3 Parent, LLC",134
286,AS39010,"TerraNet sal",133
287,AS24471,"USsoftware P Ltd.",133
288,AS14413,"LinkedIn Corporation",133
289,AS13331,"MetaPeer",133
290,AS16135,"TURKCELL ILETISIM HIZMETLERI A.S.",133
291,AS31747,"BlackRock Financial Management, Inc.",133
292,AS11432,"Telium Telecomunicações Ltda",132
293,AS3462,"Chunghwa Telecom Co., Ltd.",132
294,AS3738,"State Street Bank and Trust Company",132
295,AS13490,"Buckeye Cablevision, Inc.",132
296,AS10361,"Bloomberg, LP",132
